"Snapshot Name","Trial","Frame Size (bytes)","Load (fps)","Agg Intended Load (fps)","Agg Offered Load (fps)","Agg Forwarding Rate (fps)","Agg Offered L1 Load (bps)","Agg Forwarding L1 Rate (bps)","Frame Loss (%)","Tx Count (frames)","Rx Count (frames)","Frame Loss (frames)","Duplicate Count (frames)","Tx Queue Full Drop Frame Count (frames)","Tx Queue Full Retry Frame Count (frames)","Tx Queue Full Drop (%)","Stream Avg Latency (µs)","Avg Jitter (µs)","Expected Stream Count","Missing Stream Count","Flooded Stream Count","Flooded Count (frames)"
"Trial 2 Frame Size 64 Rate 14200000.0 fps","2","64","14,200,000","28,400,000","338,670.1","337,948.56","227,586,374.4","227,102,167.2","0","6,773,402","6,773,420","0","0","0","0","0","-1.03","0.41","2","0","2","18"
"Trial 2 Frame Size 64 Rate 14500000.0 fps","2","64","14,500,000","29,000,000","338,983.35","338,410.94","227,796,878.4","227,412,946.48","0.01","6,779,667","6,779,239","452","0","0","0","0","-0.38","0.41","2","0","2","24"
"Trial 2 Frame Size 64 Rate 14800000.0 fps","2","64","14,800,000","29,600,000","338,512.05","339,204.26","227,480,164.8","227,945,998.48","0.01","6,770,241","6,769,917","342","0","0","0","0","-2.32","0.41","2","0","2","18"
"Trial 2 Frame Size 64 Rate 14880952.0 fps","2","64","14,880,952","29,761,904","338,779.3","338,213.43","227,659,723.2","227,280,225.6","0.25","6,775,586","6,758,435","17,175","0","17,175","0","0.25","-0.82","0.41","2","0","2","24"
"Trial 2 Frame Size 128 Rate 100000.0 fps","2","128","100,000","200,000","200,509.4","199,985.18","237,403,196.8","236,783,307.31","0","4,010,188","4,010,214","0","0","0","0","0","-0.31","0.26","2","0","2","26"
"Trial 2 Frame Size 128 Rate 400000.0 fps","2","128","400,000","800,000","339,712.15","340,131.32","402,219,252.8","402,716,214.5","0","6,794,243","6,794,261","0","0","0","0","0","-1.51","0.41","2","0","2","18"
"Trial 2 Frame Size 128 Rate 700000.0 fps","2","128","700,000","1,400,000","339,235.55","340,109.39","401,654,924.8","402,690,256.06","0","6,784,711","6,784,729","0","0","0","0","0","-0.8","0.41","2","0","2","18"
"Trial 2 Frame Size 128 Rate 1000000.0 fps","2","128","1,000,000","2,000,000","340,098.75","340,004.31","402,676,987.2","402,565,936.01","0","6,801,975","6,802,002","0","0","0","0","0","-1.47","0.41","2","0","2","27"
"Trial 2 Frame Size 128 Rate 1300000.0 fps","2","128","1,300,000","2,600,000","340,262.5","340,186.63","402,870,867.2","402,781,365.29","0.14","6,805,250","6,795,675","9,604","0","9,532","0","0.14","-0.9","0.41","2","0","2","29"
"Trial 2 Frame Size 128 Rate 1600000.0 fps","2","128","1,600,000","3,200,000","339,762.7","339,115.84","402,279,070.4","401,513,953.24","0.31","6,795,254","6,774,068","21,210","0","20,778","0","0.31","-0.55","0.41","2","0","2","24"
"Trial 2 Frame Size 128 Rate 1900000.0 fps","2","128","1,900,000","3,800,000","341,718.35","339,815.57","404,594,593.6","402,342,075.7","0.36","6,834,367","6,809,583","24,807","0","24,349","0","0.36","-1.07","0.41","2","0","2","23"
"Trial 2 Frame Size 128 Rate 2200000.0 fps","2","128","2,200,000","4,400,000","338,672.5","339,861.97","400,988,307.2","402,397,402.58","0","6,773,450","6,773,477","0","0","0","0","0","-0.85","0.41","2","0","2","27"
"Trial 2 Frame Size 128 Rate 2500000.0 fps","2","128","2,500,000","5,000,000","339,011.55","339,409.5","401,389,708.8","401,861,645.4","0.01","6,780,231","6,779,899","356","0","0","0","0","-1.27","0.41","2","0","2","24"
"Trial 2 Frame Size 128 Rate 2800000.0 fps","2","128","2,800,000","5,600,000","340,952.25","339,575.36","403,687,531.2","402,057,963.88","0.29","6,819,045","6,799,259","19,804","0","19,389","0","0.28","-0.52","0.41","2","0","2","18"
"Trial 2 Frame Size 128 Rate 3100000.0 fps","2","128","3,100,000","6,200,000","340,616.3","340,078.34","403,290,121.6","402,653,486.61","0.12","6,812,326","6,804,338","8,006","0","8,006","0","0.12","-1.38","0.41","2","0","2","18"
"Trial 2 Frame Size 128 Rate 3400000.0 fps","2","128","3,400,000","6,800,000","339,415.65","340,002.57","401,868,196.8","402,563,664.38","0.01","6,788,313","6,787,891","442","0","0","0","0","-1.41","0.41","2","0","2","20"
"Trial 2 Frame Size 128 Rate 3700000.0 fps","2","128","3,700,000","7,400,000","338,869.35","339,603.5","401,221,344","402,091,308.35","0","6,777,387","6,777,408","0","0","0","0","0","-0.58","0.41","2","0","2","21"
"Trial 2 Frame Size 128 Rate 4000000.0 fps","2","128","4,000,000","8,000,000","339,572.95","339,567.19","402,054,440","402,048,385.26","0.12","6,791,459","6,783,305","8,181","0","7,731","0","0.11","-2.3","0.41","2","0","2","27"
"Trial 2 Frame Size 128 Rate 4300000.0 fps","2","128","4,300,000","8,600,000","339,318.9","339,554.79","401,753,644.8","402,033,636.44","0.01","6,786,378","6,785,988","411","0","0","0","0","-0.81","0.41","2","0","2","21"
"Trial 2 Frame Size 128 Rate 4600000.0 fps","2","128","4,600,000","9,200,000","339,804.95","339,667.15","402,329,128","402,166,673.19","0","6,796,099","6,796,124","0","0","0","0","0","-0.8","0.41","2","0","2","25"
"Trial 2 Frame Size 128 Rate 4900000.0 fps","2","128","4,900,000","9,800,000","339,568.65","339,740.36","402,049,315.2","402,253,317.61","0","6,791,373","6,791,391","0","0","0","0","0","-0.94","0.41","2","0","2","18"
"Trial 2 Frame Size 128 Rate 5200000.0 fps","2","128","5,200,000","10,400,000","339,208.3","338,720.63","401,622,694.4","401,046,074.73","0","6,784,166","6,784,113","82","0","0","0","0","-0.45","0.41","2","0","2","29"
"Trial 2 Frame Size 128 Rate 5500000.0 fps","2","128","5,500,000","11,000,000","339,315.9","338,888.1","401,750,059.2","401,244,249.81","0","6,786,318","6,786,336","0","0","0","0","0","-0.63","0.41","2","0","2","18"
"Trial 2 Frame Size 128 Rate 5800000.0 fps","2","128","5,800,000","11,600,000","340,308.9","339,903.45","402,925,804.8","402,446,528.36","0.02","6,806,178","6,805,067","1,137","0","0","0","0","-0.64","0.41","2","0","2","26"
"Trial 2 Frame Size 128 Rate 6100000.0 fps","2","128","6,100,000","12,200,000","340,167.4","339,674.79","402,758,268.8","402,175,784.52","0.32","6,803,348","6,781,528","21,847","0","21,847","0","0.32","-1.56","0.41","2","0","2","27"
"Trial 2 Frame Size 128 Rate 6400000.0 fps","2","128","6,400,000","12,800,000","339,901.35","339,644.55","402,443,265.6","402,139,977.71","0","6,798,027","6,798,003","51","0","0","0","0","-1.11","0.41","2","0","2","27"
"Trial 2 Frame Size 128 Rate 6700000.0 fps","2","128","6,700,000","13,400,000","339,620.3","339,757.36","402,110,502.4","402,273,544.14","0.01","6,792,406","6,791,572","861","0","0","0","0","-1.31","0.41","2","0","2","27"
"Trial 2 Frame Size 128 Rate 7000000.0 fps","2","128","7,000,000","14,000,000","340,447.8","340,163.99","403,090,262.4","402,754,992.35","0","6,808,956","6,808,983","0","0","0","0","0","-1.13","0.41","2","0","2","27"
"Trial 2 Frame Size 128 Rate 7300000.0 fps","2","128","7,300,000","14,600,000","338,812.9","338,938.11","401,154,540.8","401,303,037.84","0.06","6,776,258","6,772,019","4,264","0","3,832","0","0.06","-0.57","0.41","2","0","2","25"
"Trial 2 Frame Size 128 Rate 7600000.0 fps","2","128","7,600,000","15,200,000","340,193.4","340,186.99","402,789,052.8","402,782,198.61","0.01","6,803,868","6,803,454","438","0","0","0","0","-1.19","0.41","2","0","2","24"
"Trial 2 Frame Size 128 Rate 7900000.0 fps","2","128","7,900,000","15,800,000","340,142.25","339,902.19","402,728,491.2","402,444,600.5","0.01","6,802,845","6,802,373","492","0","0","0","0","-1.58","0.41","2","0","2","20"
"Trial 2 Frame Size 128 Rate 8200000.0 fps","2","128","8,200,000","16,400,000","338,470.7","338,704.78","400,749,376","401,027,225.59","0","6,769,414","6,769,435","0","0","0","0","0","-1.7","0.41","2","0","2","21"
"Trial 2 Frame Size 128 Rate 8445945.0 fps","2","128","8,445,945","16,891,890","341,237.45","340,012.7","404,025,208","402,575,658.88","0.24","6,824,749","6,808,626","16,143","0","16,143","0","0.24","-1.97","0.41","2","0","2","20"
"Trial 2 Frame Size 256 Rate 100000.0 fps","2","256","100,000","200,000","199,679.35","199,972.42","440,892,072","441,539,878.11","0.01","3,993,587","3,993,359","249","0","0","0","0","-0.64","0.27","2","0","2","21"
"Trial 2 Frame Size 256 Rate 400000.0 fps","2","256","400,000","800,000","336,166","335,494.43","742,254,561.6","740,772,440.67","0.27","6,723,320","6,705,408","17,930","0","17,626","0","0.26","-0.87","0.42","2","0","2","18"
"Trial 2 Frame Size 256 Rate 700000.0 fps","2","256","700,000","1,400,000","336,317.6","336,205.58","742,589,328","742,342,747.71","0","6,726,352","6,726,182","197","0","0","0","0","-1.12","0.42","2","0","2","27"
"Trial 2 Frame Size 256 Rate 1000000.0 fps","2","256","1,000,000","2,000,000","336,357","336,008.1","742,676,323.2","741,906,655.23","0.02","6,727,140","6,725,658","1,503","0","0","0","0","-0.68","0.42","2","0","2","21"
"Trial 2 Frame Size 256 Rate 1300000.0 fps","2","256","1,300,000","2,600,000","336,304.45","335,830.88","742,560,259.2","741,515,383.42","0.01","6,726,089","6,725,538","575","0","0","0","0","-1.44","0.42","2","0","2","24"
"Trial 2 Frame Size 256 Rate 1600000.0 fps","2","256","1,600,000","3,200,000","335,787.35","336,011.2","741,418,536","741,913,498.7","0","6,715,747","6,715,710","58","0","0","0","0","-1.68","0.42","2","0","2","21"
"Trial 2 Frame Size 256 Rate 1900000.0 fps","2","256","1,900,000","3,800,000","336,825.1","336,071.04","743,709,854.4","742,045,622.01","0.02","6,736,502","6,735,392","1,131","0","0","0","0","-2.81","0.42","2","0","2","21"
"Trial 2 Frame Size 256 Rate 2200000.0 fps","2","256","2,200,000","4,400,000","336,877.55","336,575.09","743,825,697.6","743,158,562.28","0.01","6,737,551","6,737,051","521","0","0","0","0","-0.85","0.42","2","0","2","21"
"Trial 2 Frame Size 256 Rate 2500000.0 fps","2","256","2,500,000","5,000,000","335,348.3","335,873.78","740,449,080","741,610,070.34","0.01","6,706,966","6,706,288","699","0","0","0","0","-1.31","0.42","2","0","2","21"
"Trial 2 Frame Size 256 Rate 2800000.0 fps","2","256","2,800,000","5,600,000","337,847.55","336,615.43","745,967,457.6","743,247,453.6","0.02","6,756,951","6,755,800","1,177","0","0","0","0","-2.35","0.42","2","0","2","26"
"Trial 2 Frame Size 256 Rate 3100000.0 fps","2","256","3,100,000","6,200,000","336,514.05","336,100.39","743,023,089.6","742,110,138.8","0.12","6,730,281","6,722,347","7,960","0","7,914","0","0.12","-1.12","0.42","2","0","2","26"
"Trial 2 Frame Size 256 Rate 3400000.0 fps","2","256","3,400,000","6,800,000","336,529.55","336,312.25","743,057,280","742,578,189.36","0.01","6,730,591","6,729,839","770","0","0","0","0","-0.86","0.42","2","0","2","18"
"Trial 2 Frame Size 256 Rate 3700000.0 fps","2","256","3,700,000","7,400,000","336,938.55","335,755.77","743,960,385.6","741,349,568.86","0.37","6,738,771","6,713,664","25,135","0","24,958","0","0.37","-0.8","0.42","2","0","2","28"
"Trial 2 Frame Size 256 Rate 4000000.0 fps","2","256","4,000,000","8,000,000","337,860.1","336,317.55","745,995,134.4","742,589,918.31","0.52","6,757,202","6,721,849","35,374","0","33,905","0","0.5","-0.55","0.42","2","0","2","21"
"Trial 2 Frame Size 256 Rate 4300000.0 fps","2","256","4,300,000","8,600,000","337,337.45","336,173.57","744,841,156.8","742,271,980.23","0.01","6,746,749","6,746,198","569","0","0","0","0","-1.3","0.42","2","0","2","18"
"Trial 2 Frame Size 256 Rate 4528985.0 fps","2","256","4,528,985","9,057,970","336,077.3","335,337.09","742,058,712","740,425,019.57","0.25","6,721,546","6,704,531","17,033","0","17,033","0","0.25","-1.46","0.42","2","0","2","18"
"Trial 2 Frame Size ssu-64-4096bytes (copy) Rate 100000.0 fps","2","ssu-64-4096bytes (copy)","100,000","200,000","199,506.25","133,332.29","2,818,348,783.2","621,002,369.75","33.32","3,990,125","2,660,444","1,329,696","0","1,329,695","0","33.32","-0.61","0.35","2","0","2","15"
"Trial 2 Frame Size ssu-64-4096bytes (copy) Rate 400000.0 fps","2","ssu-64-4096bytes (copy)","400,000","800,000","455,913.85","303,729.59","6,441,009,756","1,414,400,933.18","33.34","9,118,277","6,078,571","3,039,715","0","3,039,149","0","33.33","-1.07","0.22","2","0","2","9"
"Trial 2 Frame Size ssu-64-4096bytes (copy) Rate 700000.0 fps","2","ssu-64-4096bytes (copy)","700,000","1,400,000","455,306.9","303,423.78","6,432,445,723.2","1,412,875,403.12","33.34","9,106,138","6,070,516","3,035,639","0","3,035,182","0","33.33","-1.44","0.22","2","0","2","17"
"Trial 2 Frame Size ssu-64-4096bytes (copy) Rate 706705.0 fps","2","ssu-64-4096bytes (copy)","706,705","1,413,410","455,080.5","303,579.74","6,429,038,836.8","1,413,587,986.57","33.34","9,101,610","6,067,528","3,034,092","0","3,033,532","0","33.33","-0.23","0.22","2","0","2","10"
